identifier	n_sentences	n_tokens	ttr_form_chunks_200	ttr_form_chunks_100	ttr_lemma_chunks_100	ttr_lemma_chunks_200	tokens_per_sent	char_per_tok	upos_dist_DT	upos_dist_VB	upos_dist_VBP	upos_dist_NNS	upos_dist_NNPS	upos_dist_NNP	upos_dist_VBZ	upos_dist_$	upos_dist_VBD	upos_dist_JJ	upos_dist_''	upos_dist_EX	upos_dist_``	upos_dist_NN	upos_dist_JJR	upos_dist_.	upos_dist_RBS	upos_dist_VBG	upos_dist_IN	upos_dist_WP$	upos_dist_RB	upos_dist_TO	upos_dist_WRB	upos_dist_CC	upos_dist_PRP	upos_dist_POS	upos_dist_MD	upos_dist_UH	upos_dist_,	upos_dist_CD	upos_dist_FW	upos_dist_RBR	upos_dist_:	upos_dist_JJS	upos_dist_PDT	upos_dist_VBN	upos_dist_WDT	upos_dist_RP	upos_dist_PRP$	upos_dist_WP	lexical_density	verbs_mood_dist	verbs_tense_dist	verbs_form_dist	verbs_num_pers_dist	aux_mood_dist	aux_tense_dist	aux_form_dist	aux_num_pers_dist	verbal_head_per_sent	verbal_root_perc	avg_token_per_clause	avg_links_len	max_links_len	avg_max_links_len	avg_max_depth	dep_dist_a	subj_pre	subj_post	obj_pre	obj_post	n_prepositional_chains	avg_prepositional_chain_len	prepositional_chain_distribution	subordinate_chains_distribution	avg_subordinate_chain_len	principal_proposition_dist	subordinate_proposition_dist	subordinate_pre	subordinate_post	verb_edges_dist	avg_verb_edges
17_Question7_7.txt	1	102	0	0.76	0.01	0	102.0	5.392156862745098	0	0	2.9411764705882355	10.784313725490197	0	11.764705882352942	0.9803921568627451	0	0	12.745098039215685	0	0	0	33.333333333333336	0	3.9215686274509802	0	0	5.882352941176471	0	0.9803921568627451	0	0	0	0	0	0	0	6.862745098039215	0.9803921568627451	8.823529411764707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_8.txt	1	126	0	0.78	0.01	0	126.0	5.246031746031746	0	0	3.9682539682539684	11.904761904761905	0	9.523809523809524	3.1746031746031744	0	0.7936507936507936	10.317460317460318	0	0	0	33.333333333333336	0	3.9682539682539684	0	0	1.5873015873015872	0	0	0	0	0	0	0	0	0	7.936507936507937	0.7936507936507936	12.698412698412698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17_Question7_9.txt	1	114	0	0.77	0.01	0	114.0	5.245614035087719	0.8771929824561403	0	3.508771929824561	11.403508771929825	0	7.894736842105263	2.6315789473684212	0	0.8771929824561403	15.789473684210526	0	0	0	29.82456140350877	0	3.508771929824561	0	0	5.2631578947368425	0	0	0	0	0	0	0	0	0	7.894736842105263	0.8771929824561403	9.649122807017545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_1.txt	1	156	0	0.76	0.01	0	156.0	5.4743589743589745	0.6410256410256411	0.6410256410256411	3.2051282051282053	5.769230769230769	0	14.102564102564102	2.5641025641025643	0	0	12.820512820512821	0	0	0	36.53846153846154	0	3.2051282051282053	0	0	3.2051282051282053	0	0	0	0	0	0.6410256410256411	0	0	0	7.6923076923076925	2.5641025641025643	6.410256410256411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_10.txt	1	135	0	0.74	0.01	0	135.0	5.777777777777778	0.7407407407407407	0	1.4814814814814814	5.185185185185185	0	13.333333333333334	3.7037037037037037	0	1.4814814814814814	12.592592592592593	0	0.7407407407407407	0	39.25925925925926	0	2.962962962962963	0	0	1.4814814814814814	0	0	0	0	0.7407407407407407	0	0.7407407407407407	0	0	7.407407407407407	2.2222222222222223	5.925925925925926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_2.txt	1	139	0	0.73	0.01	0	139.0	5.251798561151079	0.7194244604316546	0	2.158273381294964	5.0359712230215825	0	17.985611510791365	4.316546762589928	0	0	12.23021582733813	0	0	0	31.654676258992804	0	2.8776978417266186	0	0	2.158273381294964	0	0	0	0	0	0	0	0	0	6.474820143884892	2.158273381294964	11.510791366906474	0	0.7194244604316546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_3.txt	1	92	0	0	0	0	92.0	5.326086956521739	2.1739130434782608	0	5.434782608695652	6.521739130434782	0	11.956521739130435	3.260869565217391	0	0	13.043478260869565	0	0	0	39.130434782608695	0	3.260869565217391	0	0	0	0	0	0	0	0	0	0	0	0	7.608695652173913	2.1739130434782608	5.434782608695652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_4.txt	1	129	0	0.74	0.01	0	129.0	5.2015503875969	0.7751937984496124	1.550387596899225	3.10077519379845	4.651162790697675	0	15.503875968992247	3.10077519379845	0	0.7751937984496124	13.178294573643411	0	0	0	32.55813953488372	0	3.10077519379845	0	0	1.550387596899225	0	0	0	0	0	0	0	0.7751937984496124	0	8.527131782945736	4.651162790697675	6.2015503875969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_5.txt	1	114	0	0.77	0.01	0	114.0	5.131578947368421	0.8771929824561403	0	1.7543859649122806	5.2631578947368425	0	12.280701754385966	4.385964912280702	0	0	12.280701754385966	0.8771929824561403	0	0	38.59649122807018	0	2.6315789473684212	0	0	1.7543859649122806	0	0	0	0	0	0	0	0	0	7.894736842105263	4.385964912280702	7.017543859649122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18_Question8_6.txt	1	159	0	0.8	0.01	0	159.0	5.49685534591195	0.6289308176100629	0	0.6289308176100629	2.5157232704402515	0	13.20754716981132	1.8867924528301887	0	0	15.723270440251572	0	0	0	43.39622641509434	0	2.5157232704402515	0	0	4.40251572327044	0	0	0	0	0	0	0	0	0	5.660377358490566	2.5157232704402515	5.660377358490566	0	1.2578616352201257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
